Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player-additional
1,Quincy Acy,PF,22,TOR,29,342,15.9,0.632,0.027,0.507,10.3,16.6,13.4,5.2,2.0,3.5,15.6,14.7,0.7,0.4,1.1,0.157,-1.0,1.0,0.1,0.2,acyqu01
2,Jeff Adrien,PF,26,CHA,52,713,13.4,0.493,0.012,0.595,10.6,21.2,15.7,8.3,1.3,3.1,13.1,15.6,0.5,0.4,1.0,0.064,-2.1,-0.9,-3.0,-0.2,adrieje01
3,Arron Afflalo,SF,27,ORL,64,2307,13.0,0.527,0.265,0.246,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,1.5,0.5,2.0,0.042,-1.1,-1.8,-2.9,-0.5,afflaar01
4,Josh Akognon,PG,26,DAL,3,9,15.3,0.625,0.5,0.0,0.0,12.1,6.2,19.4,0.0,0.0,0.0,20.3,0.0,0.0,0.0,0.196,-3.1,0.1,-3.0,0.0,akognjo01
5,Cole Aldrich,C,24,TOT,45,388,11.1,0.563,0.0,0.25,8.7,26.7,17.7,3.4,0.7,4.6,20.6,12.7,0.1,0.4,0.6,0.07,-3.5,0.6,-2.9,-0.1,aldrico01
5,Cole Aldrich,C,24,HOU,30,213,7.3,0.532,0.0,0.209,6.5,23.7,15.2,4.1,0.7,3.2,23.0,12.5,-0.1,0.3,0.2,0.038,-5.6,0.6,-5.0,-0.2,aldrico01
5,Cole Aldrich,C,24,SAC,15,175,15.7,0.598,0.0,0.297,11.5,30.4,20.7,2.6,0.6,6.3,17.7,12.9,0.2,0.2,0.4,0.109,-1.0,0.5,-0.5,0.1,aldrico01
6,LaMarcus Aldridge,PF,27,POR,74,2790,20.4,0.53,0.011,0.264,7.2,20.9,14.0,13.0,1.2,2.5,8.9,26.5,4.8,2.3,7.2,0.124,1.7,-0.4,1.3,2.3,aldrila01
7,Lavoy Allen,C,23,PHI,79,1669,11.5,0.474,0.002,0.132,10.5,16.5,13.4,6.7,0.8,2.6,10.3,14.8,0.9,1.6,2.5,0.072,-3.0,-0.3,-3.3,-0.6,allenla01
8,Ray Allen*,SG,37,MIA,79,2035,14.7,0.599,0.51,0.243,2.6,10.1,6.6,10.2,1.7,0.6,12.5,19.3,3.4,1.9,5.4,0.126,1.1,-0.8,0.3,1.2,allenra02
9,Tony Allen,SG,31,MEM,79,2109,13.2,0.489,0.038,0.293,6.6,13.8,10.2,7.6,3.1,1.7,11.5,17.8,1.0,4.1,5.1,0.115,-2.0,2.4,0.4,1.2,allento01
10,Al-Farouq Aminu,SF,22,NOH,76,2066,13.7,0.519,0.04,0.289,7.9,26.2,16.9,7.8,2.4,2.1,17.8,14.6,0.7,2.4,3.1,0.073,-1.3,1.2,-0.1,1.0,aminual01
11,Lou Amundson,PF,30,TOT,39,372,9.3,0.392,0.0,0.444,14.7,18.7,16.7,4.5,2.3,2.6,16.4,14.2,-0.3,0.4,0.1,0.019,-4.2,0.0,-4.2,-0.2,amundlo01
11,Lou Amundson,PF,30,MIN,20,161,6.3,0.342,0.0,0.526,15.9,17.6,16.7,2.8,2.2,2.9,19.0,16.1,-0.4,0.2,-0.1,-0.038,-6.9,-1.0,-7.9,-0.2,amundlo01
11,Lou Amundson,PF,30,CHI,1,2,0.0,0.0,0.0,0.0,56.7,0.0,28.7,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,-0.274,-4.7,-18.2,-22.8,0.0,amundlo01
11,Lou Amundson,PF,30,NOH,18,209,11.7,0.449,0.0,0.381,13.4,19.7,16.5,5.8,2.3,2.4,14.0,12.7,0.1,0.2,0.3,0.065,-2.1,1.0,-1.1,0.0,amundlo01
12,Chris Andersen,C,34,MIA,42,624,17.4,0.631,0.024,0.756,11.9,21.5,17.0,4.0,1.4,5.8,12.8,14.4,1.6,1.1,2.7,0.207,-1.0,0.8,-0.2,0.3,anderch01
13,Alan Anderson,SF,30,TOR,65,1495,12.6,0.509,0.463,0.239,2.7,9.2,5.9,11.7,1.7,0.4,10.5,23.6,0.8,0.8,1.6,0.052,-0.5,-1.3,-1.8,0.1,anderal01
14,James Anderson,SG-SF,23,TOT,39,401,13.9,0.539,0.476,0.222,5.2,15.0,10.2,15.8,1.9,0.9,15.3,18.0,0.4,0.4,0.9,0.106,0.5,0.5,1.0,0.3,anderja01
14,James Anderson,SF,23,SAS,10,94,13.0,0.587,0.44,0.36,3.9,12.8,8.6,13.9,1.6,1.5,19.5,17.6,0.1,0.1,0.2,0.109,-0.4,0.8,0.4,0.1,anderja01
14,James Anderson,SG,23,HOU,29,307,14.2,0.526,0.485,0.188,5.6,15.7,10.7,16.4,2.0,0.7,14.1,18.1,0.4,0.3,0.7,0.105,0.7,0.4,1.2,0.2,anderja01
15,Ryan Anderson,PF,24,NOH,81,2503,18.1,0.548,0.5,0.161,8.9,15.9,12.4,6.9,0.9,1.0,7.5,24.0,5.7,0.8,6.5,0.125,4.1,-2.1,2.0,2.5,anderry01
16,Carmelo Anthony,PF,28,NYK,67,2482,24.8,0.56,0.278,0.344,6.1,15.9,10.8,14.1,1.1,1.1,9.3,35.6,7.5,2.0,9.5,0.184,6.0,-1.7,4.3,3.9,anthoca01
17,Joel Anthony,C,30,MIA,62,566,10.4,0.542,0.0,0.412,10.4,14.4,12.5,3.1,1.2,6.1,21.5,8.6,0.4,0.8,1.2,0.1,-2.3,0.9,-1.3,0.1,anthojo01
18,Trevor Ariza,SF,27,WAS,56,1471,14.0,0.538,0.463,0.211,3.3,16.9,10.0,12.7,2.5,1.1,14.6,17.9,0.7,2.4,3.1,0.102,0.1,2.0,2.1,1.6,arizatr01
19,Darrell Arthur,PF,24,MEM,59,970,11.8,0.477,0.05,0.128,8.1,12.5,10.3,5.9,1.3,2.8,10.2,20.1,0.2,1.5,1.7,0.084,-2.8,0.4,-2.4,-0.1,arthuda01
20,Ömer A??k,C,26,HOU,82,2464,14.9,0.558,0.002,0.487,12.8,31.0,22.0,4.6,0.9,2.7,18.8,16.3,2.0,3.5,5.5,0.108,-1.3,-0.3,-1.6,0.3,asikom01
21,D.J. Augustin,PG,25,IND,76,1226,11.0,0.527,0.646,0.337,1.9,6.3,4.1,21.6,1.5,0.2,16.8,15.1,1.4,1.5,2.8,0.112,-0.7,0.1,-0.6,0.5,augusdj01
22,Gustavo Ayón,C,27,TOT,55,734,12.8,0.54,0.0,0.299,9.0,21.3,15.1,14.7,1.5,1.8,19.9,14.5,0.4,0.8,1.2,0.077,-3.0,1.3,-1.7,0.1,ayongu01
22,Gustavo Ayón,C,27,ORL,43,571,11.7,0.54,0.0,0.304,7.9,19.8,13.8,15.5,1.2,1.8,21.1,14.3,0.3,0.5,0.7,0.061,-3.3,1.3,-2.0,0.0,ayongu01
22,Gustavo Ayón,C,27,MIL,12,163,16.6,0.539,0.0,0.286,12.7,26.7,19.4,11.6,2.8,1.8,16.0,15.0,0.1,0.3,0.4,0.132,-1.8,1.4,-0.5,0.1,ayongu01
23,Jeff Ayres,PF,25,IND,37,369,14.5,0.533,0.032,0.183,8.9,22.2,15.7,7.2,0.9,2.4,14.5,19.7,0.3,0.7,1.0,0.129,-1.9,0.9,-1.0,0.1,pendeje02
24,Luke Babbitt,PF,23,POR,62,730,9.4,0.509,0.761,0.056,2.4,19.7,10.9,6.2,1.0,0.5,8.4,16.4,0.3,0.4,0.7,0.047,-1.7,-0.7,-2.4,-0.1,babbilu01
25,Leandro Barbosa,PG,30,BOS,41,513,13.5,0.509,0.244,0.212,1.9,8.5,5.3,19.0,1.7,0.9,9.1,21.4,0.4,0.5,0.9,0.086,-1.0,0.3,-0.7,0.2,barbole01
26,J.J. Barea,PG,28,MIN,74,1713,14.1,0.51,0.369,0.177,2.2,11.9,6.9,30.6,1.0,0.0,15.1,25.1,0.8,1.0,1.9,0.053,0.7,-1.3,-0.6,0.6,bareajo01
27,Andrea Bargnani,PF,27,TOR,35,1003,11.2,0.482,0.289,0.181,3.0,12.3,7.6,6.6,1.1,1.8,10.5,23.8,-0.5,0.6,0.1,0.007,-1.1,-1.6,-2.7,-0.2,bargnan01
28,Harrison Barnes,SF,20,GSW,81,2058,11.0,0.526,0.231,0.303,2.9,14.5,8.9,7.3,1.3,0.5,12.4,17.7,0.9,1.9,2.8,0.065,-1.6,-0.1,-1.7,0.1,barneha02
29,Matt Barnes,SF,32,LAC,80,2058,15.5,0.566,0.481,0.173,6.5,14.5,10.6,9.2,2.1,2.6,11.0,18.1,3.5,2.8,6.3,0.146,1.1,0.7,1.8,2.0,barnema02
30,Earl Barron,C,31,TOT,12,159,8.9,0.361,0.0,0.137,15.4,28.1,21.6,5.0,1.6,3.0,16.9,18.8,-0.3,0.3,0.0,-0.003,-6.7,-1.2,-7.9,-0.2,barroea01
30,Earl Barron,C,31,WAS,11,122,6.9,0.357,0.0,0.135,14.4,24.7,19.5,3.9,2.1,3.2,20.3,18.4,-0.3,0.3,-0.1,-0.025,-8.3,-0.5,-8.9,-0.2,barroea01
30,Earl Barron,C,31,NYK,1,37,15.4,0.37,0.0,0.143,18.4,39.3,28.5,8.7,0.0,2.3,6.3,20.1,0.0,0.1,0.1,0.069,-1.3,-3.6,-4.9,0.0,barroea01
31,Will Barton,SG,22,POR,73,894,9.1,0.437,0.21,0.21,4.6,14.3,9.4,10.4,2.0,0.8,15.1,20.4,-1.1,0.6,-0.5,-0.028,-4.0,-0.6,-4.6,-0.6,bartowi01
32,Brandon Bass,PF,27,BOS,81,2239,12.3,0.535,0.003,0.255,7.0,15.2,11.2,6.0,1.0,2.3,10.9,15.5,2.0,2.7,4.7,0.101,-1.9,0.0,-1.9,0.1,bassbr01
33,Shane Battier,SF,34,MIA,72,1786,10.7,0.623,0.873,0.105,2.7,8.4,5.7,5.7,1.2,2.5,8.2,11.0,2.8,1.6,4.4,0.119,0.9,0.1,1.0,1.4,battish01
34,Nicolas Batum,SF,24,POR,73,2807,15.7,0.566,0.533,0.252,4.0,13.2,8.5,20.3,1.7,2.2,17.0,18.2,3.8,1.9,5.8,0.099,2.3,0.5,2.8,3.4,batumni01
35,Jerryd Bayless,PG,24,MEM,80,1765,13.5,0.514,0.324,0.196,1.4,10.5,5.9,24.9,1.8,0.8,15.1,20.8,1.5,2.5,4.0,0.108,-0.6,0.7,0.1,1.0,bayleje01
36,Aron Baynes,C,26,SAS,16,141,8.8,0.521,0.028,0.333,10.4,15.5,13.1,5.2,0.4,3.1,21.0,17.1,0.0,0.2,0.1,0.05,-6.4,-0.6,-7.0,-0.2,baynear01
37,Kent Bazemore,SG,23,GSW,61,267,11.3,0.454,0.293,0.379,2.1,6.8,4.5,13.1,3.2,1.2,11.7,25.7,-0.3,0.3,0.1,0.014,-3.1,0.7,-2.4,0.0,bazemke01
38,Bradley Beal,SG,19,WAS,56,1745,13.6,0.515,0.344,0.231,2.7,10.8,6.7,13.7,1.5,1.3,10.6,22.2,1.0,2.0,3.0,0.082,0.0,0.2,0.2,1.0,bealbr01
39,Michael Beasley,SF,24,PHO,75,1554,10.8,0.462,0.188,0.164,3.7,17.2,10.3,12.5,1.0,1.6,14.9,27.6,-2.5,1.0,-1.5,-0.047,-2.7,-2.0,-4.7,-1.1,beaslmi01
40,Rodrigue Beaubois,PG,24,DAL,45,549,10.6,0.47,0.409,0.216,1.9,9.6,5.8,22.6,1.8,0.6,14.6,18.7,0.0,0.4,0.4,0.032,-2.3,-0.3,-2.6,-0.1,beaubro01
41,Marco Belinelli,SG,26,CHI,73,1882,10.4,0.513,0.362,0.275,0.8,7.8,4.3,12.9,1.3,0.2,10.7,18.7,1.3,1.6,3.0,0.076,-1.9,-0.4,-2.3,-0.1,belinma01
42,Patrick Beverley,PG,24,HOU,41,713,15.4,0.551,0.508,0.217,7.2,10.1,8.7,24.2,2.6,2.2,17.5,15.4,1.4,0.8,2.2,0.148,1.7,2.1,3.8,1.0,beverpa01
43,Andris Biedri?š,C,26,GSW,53,495,7.7,0.449,0.0,0.619,7.8,25.7,17.0,3.7,1.5,6.6,34.4,3.7,0.1,1.0,1.1,0.102,-4.8,3.8,-1.0,0.1,biedran01
44,Chauncey Billups,SG,36,LAC,22,418,15.0,0.601,0.682,0.364,0.6,8.4,4.6,17.4,1.5,0.2,14.5,19.6,1.0,0.3,1.3,0.146,1.6,-1.1,0.5,0.3,billuch01
45,Bismack Biyombo,C,20,CHA,80,2186,10.1,0.472,0.0,0.41,9.9,20.9,15.2,2.5,0.7,5.3,16.7,10.2,0.1,1.3,1.4,0.031,-3.6,-0.8,-4.4,-1.3,biyombi01
46,DeJuan Blair,PF,23,SAS,61,851,14.6,0.543,0.004,0.258,9.5,21.1,15.6,8.3,2.2,0.9,14.0,19.0,0.7,1.5,2.2,0.126,-2.4,0.8,-1.6,0.1,blairde01
47,Steve Blake,PG,32,LAL,45,1175,11.7,0.573,0.633,0.13,2.0,10.1,6.2,21.9,1.5,0.4,17.8,13.2,1.6,0.8,2.4,0.097,0.1,0.4,0.5,0.7,blakest01
48,Andray Blatche,C,26,BRK,82,1555,21.9,0.547,0.033,0.32,12.2,19.6,15.8,10.5,3.0,2.7,13.8,26.5,2.4,2.5,4.9,0.153,1.3,0.9,2.2,1.6,blatcan01
49,Eric Bledsoe,PG,23,LAC,76,1553,17.5,0.513,0.137,0.236,6.1,11.1,8.6,23.5,3.7,3.0,17.9,22.5,1.1,2.6,3.7,0.115,1.3,2.2,3.5,2.2,bledser01
50,Keith Bogans,SG,32,BRK,74,1408,6.7,0.533,0.863,0.06,1.3,8.8,5.0,8.1,1.1,0.2,14.4,11.2,0.7,0.7,1.4,0.047,-2.3,-0.3,-2.6,-0.2,boganke01
51,Andrew Bogut,C,28,GSW,32,786,13.8,0.463,0.005,0.207,9.8,24.1,17.2,12.5,1.3,5.5,14.8,13.4,0.4,1.4,1.7,0.106,-1.4,2.8,1.4,0.7,bogutan01
52,Matt Bonner,PF,32,SAS,68,909,11.8,0.609,0.522,0.065,3.4,12.5,8.2,5.8,1.0,1.5,6.3,12.8,1.4,1.1,2.5,0.133,-0.2,0.4,0.2,0.5,bonnema01
53,Trevor Booker,PF,25,WAS,48,887,13.9,0.509,0.023,0.327,12.2,17.8,14.9,7.4,1.9,1.4,11.0,14.5,0.9,1.4,2.3,0.126,-1.5,0.6,-1.0,0.2,booketr01
54,Carlos Boozer,PF,31,CHI,79,2546,17.1,0.51,0.002,0.232,7.8,27.2,17.4,13.4,1.4,0.8,12.3,25.8,1.4,4.3,5.7,0.108,-0.3,0.2,-0.1,1.2,boozeca01
55,Chris Bosh*,C,28,MIA,74,2454,20.0,0.592,0.082,0.333,7.0,17.6,12.6,8.4,1.4,3.4,11.0,22.7,5.6,3.4,9.0,0.175,1.5,-0.2,1.3,2.1,boshch01
56,Avery Bradley,PG,22,BOS,50,1435,8.8,0.461,0.264,0.103,2.5,6.5,4.6,11.6,2.3,1.0,12.6,18.8,-1.3,1.6,0.4,0.012,-4.0,0.3,-3.7,-0.6,bradlav01
57,Elton Brand,C,33,DAL,72,1527,15.2,0.499,0.002,0.195,9.7,21.5,15.7,7.1,1.7,4.6,9.9,17.2,1.2,2.2,3.4,0.107,-1.7,0.9,-0.9,0.4,brandel01
58,Corey Brewer,SF,26,DEN,82,2003,14.7,0.506,0.348,0.245,3.1,9.9,6.6,9.5,3.0,0.9,9.4,23.4,1.7,2.2,3.9,0.093,-0.2,0.6,0.4,1.2,breweco01
59,Ronnie Brewer,SF,27,TOT,60,853,10.0,0.416,0.384,0.197,5.7,13.5,9.6,8.6,2.7,0.6,7.7,12.7,0.1,1.0,1.1,0.06,-1.7,0.9,-0.7,0.3,brewero02
59,Ronnie Brewer,SF,27,NYK,46,711,10.2,0.432,0.406,0.223,4.6,12.1,8.2,8.4,2.6,0.7,6.8,13.6,0.1,0.7,0.8,0.057,-1.6,0.8,-0.8,0.2,brewero02
59,Ronnie Brewer,SF,27,OKC,14,142,9.1,0.283,0.217,0.0,11.3,20.3,16.2,9.4,3.3,0.0,14.8,8.6,0.0,0.3,0.2,0.072,-2.2,1.7,-0.6,0.1,brewero02
